Pedigree size range	(50, 100)	(100, 150)	(150, 200)	(200, 300)	(300, 400)	(400, 500)
Similarity of top 50 pedigrees	0.38673819113310937	0.3948260779024438	0.3967391418460128	0.39617423770009175	0.38829803437687943	0.3789055190482331
Similarity of top 50 pedigrees	0.38680346480599737	0.3948691387095103	0.3967488133354305	0.39623062080212407	0.38835274746625836	0.37893104083896423
Similarity of top 50 pedigrees	0.38683879754930856	0.39490434146440834	0.3967790624555375	0.39628333250987596	0.38840740315122524	0.3789355787543641
Similarity of top 50 pedigrees	0.38694435358910695	0.3950001248175537	0.39678005049778725	0.3963166304859021	0.3885118187043689	0.3789959872468955
Similarity of top 50 pedigrees	0.38700029657242374	0.3951905724651061	0.3967845165197829	0.3963570512734523	0.38870583628784067	0.3790194789212588
Similarity of top 50 pedigrees	0.38701599750815957	0.39521094352628494	0.3968226036554118	0.39644295664082113	0.388815661302873	0.37916882622574655
Similarity of top 50 pedigrees	0.3870773817982292	0.39521802242280996	0.39684307873545555	0.3964698723627451	0.3888335041392545	0.37920125922118686
Similarity of top 50 pedigrees	0.3871336952066969	0.39531211278508066	0.3969333859601582	0.39664720465556663	0.38885618591376137	0.37935147553417375
Similarity of top 50 pedigrees	0.38727531778191115	0.39537750741430316	0.3970428553181344	0.39678941624265784	0.38886895971344954	0.37940993716174765
Similarity of top 50 pedigrees	0.38745434567309334	0.3953870780820079	0.3970460071832079	0.3968167741888019	0.38893697778259634	0.3794710782486206
Similarity of top 50 pedigrees	0.3875030713902909	0.3955701257388808	0.3970861110978216	0.39682019158091497	0.38895629590571495	0.3795154398670564
Similarity of top 50 pedigrees	0.38753405266019614	0.39573134832132595	0.39731654496265173	0.3968646390028613	0.3891457521038088	0.37967090856085356
Similarity of top 50 pedigrees	0.3876525797126259	0.3960596454188021	0.3973873581461248	0.39691383706271666	0.38915385550283277	0.3797367822598542
Similarity of top 50 pedigrees	0.3878093066854673	0.3961775021681446	0.3975372492156656	0.3969303857684917	0.38919757484900586	0.3799756776487581
Similarity of top 50 pedigrees	0.3879267894305593	0.3962129817394063	0.397684880257256	0.3970618362613251	0.3892047020053024	0.38012833360900367
Similarity of top 50 pedigrees	0.3880160514436695	0.3962689693631192	0.3978428855242815	0.39706596750229567	0.38932032572028086	0.3801603608119886
Similarity of top 50 pedigrees	0.3880216372971418	0.3962702834995163	0.3978577376304917	0.3971642587242537	0.3893958667978623	0.38016347068055434
Similarity of top 50 pedigrees	0.3880485519559037	0.39634169331771896	0.39788255095116637	0.397307500847276	0.3894921040973472	0.38021563190124236
Similarity of top 50 pedigrees	0.3881042681097645	0.39640519317297995	0.39791237229348764	0.39731074759680796	0.3896167234194612	0.3803822395885432
Similarity of top 50 pedigrees	0.38811354372721346	0.39644620523261165	0.39791487428879274	0.3973217262326403	0.3896355312526264	0.3804702605202786
Similarity of top 50 pedigrees	0.388634296175338	0.3964626428527106	0.3979680439755178	0.39754095184339533	0.3896739918192596	0.38062056651233933
Similarity of top 50 pedigrees	0.3886692366786502	0.3965673277896303	0.39814058766348753	0.39763973364264715	0.38981334983535987	0.3806446491831775
Similarity of top 50 pedigrees	0.38873161496290476	0.3967007333357978	0.3982547498418452	0.3976718444497132	0.3898216000006646	0.38076321438756694
Similarity of top 50 pedigrees	0.3887823156916721	0.396766550953633	0.3984822072256729	0.39775311939203456	0.3898425058292068	0.3811068237421138
Similarity of top 50 pedigrees	0.38887284888340656	0.3967998926808686	0.39854564410177373	0.39779006524650157	0.38992440531578787	0.3814273515939787
Similarity of top 50 pedigrees	0.3889140853366708	0.39684183941085316	0.39880559283378664	0.39817683662752307	0.3906124024022006	0.3815660619499276
Similarity of top 50 pedigrees	0.38903633640517726	0.3969118717169235	0.3990629094880239	0.3981776006106816	0.3907085488083674	0.38181616010401664
Similarity of top 50 pedigrees	0.38907494245170143	0.397020252495986	0.3991976987899477	0.3982069407613605	0.3907449905929763	0.3818975380791552
